corrida,perfil_id,n_habs_iniciales,algoritmo,exito,num_cursos,semanas_perturbadas,semanas_nominales,nodos_expandidos,tiempo_segundos
118,backend_developer,1,A*,True,10,40,39,2363,0.24191
118,backend_developer,1,Greedy,True,10,36,35,15,0.001208
119,backend_developer,3,A*,True,9,35,35,407,0.045017
119,backend_developer,3,Greedy,True,9,33,33,13,0.000908
120,1,3,A*,True,7,28,29,55,0.004029
120,1,3,Greedy,True,7,27,28,8,0.000399
121,1,1,A*,True,7,30,29,55,0.004659
121,1,1,Greedy,True,7,29,28,8,0.000462
122,data_scientist,0,A*,True,11,44,44,298,0.026532
122,data_scientist,0,Greedy,True,11,44,44,16,0.001033
123,3,0,A*,True,11,41,40,1369,0.134568
123,3,0,Greedy,True,11,41,40,74,0.009944
124,8,1,A*,False,0,0,0,5000,0.456703
124,8,1,Greedy,True,32,167,174,463692,37.60501
125,backend_developer,4,A*,True,9,36,35,407,0.044398
125,backend_developer,4,Greedy,True,9,34,33,13,0.001017
126,1,1,A*,True,7,29,29,55,0.004173
126,1,1,Greedy,True,7,26,28,8,0.000487
127,9,4,A*,True,13,62,64,235,0.01955
127,9,4,Greedy,True,13,62,64,17,0.001227
128,ml_engineer,3,A*,False,0,0,0,5000,0.410765
128,ml_engineer,3,Greedy,True,13,58,60,638,0.038328
129,backend_developer,0,A*,True,10,38,39,2363,0.222724
129,backend_developer,0,Greedy,True,10,35,36,15,0.001421
130,ml_engineer,1,A*,False,0,0,0,5000,0.437625
130,ml_engineer,1,Greedy,True,13,61,60,638,0.038879
131,4,5,A*,False,0,0,0,5000,0.441248
131,4,5,Greedy,True,14,65,63,36,0.004042
132,data_scientist,5,A*,True,11,46,44,295,0.023666
132,data_scientist,5,Greedy,True,11,46,44,16,0.000959
133,11,4,A*,True,6,22,24,15,0.001068
133,11,4,Greedy,True,6,22,24,7,0.000402
134,8,4,A*,False,0,0,0,5000,0.399965
134,8,4,Greedy,True,32,167,174,409189,25.547635
135,ml_engineer,5,A*,False,0,0,0,5000,0.382457
135,ml_engineer,5,Greedy,True,13,57,60,719,0.046256
136,1,4,A*,True,5,22,22,33,0.002165
136,1,4,Greedy,True,5,21,21,6,0.000282
137,3,5,A*,True,11,40,40,1506,0.118938
137,3,5,Greedy,True,11,40,40,78,0.005358
138,11,2,A*,True,6,26,24,15,0.001164
138,11,2,Greedy,True,6,25,23,7,0.000437
139,9,4,A*,True,12,56,56,491,0.033016
139,9,4,Greedy,True,13,68,66,23,0.001341
140,3,1,A*,True,11,40,40,1369,0.097741
140,3,1,Greedy,True,11,40,40,74,0.004852
141,4,0,A*,False,0,0,0,5000,0.396233
141,4,0,Greedy,True,15,66,65,52,0.00629
142,11,4,A*,True,6,24,24,15,0.001576
142,11,4,Greedy,True,6,23,23,7,0.000748
143,ml_engineer,5,A*,False,0,0,0,5000,0.401174
143,ml_engineer,5,Greedy,True,13,62,60,638,0.035359
144,backend_developer,4,A*,True,10,39,39,2358,0.219281
144,backend_developer,4,Greedy,True,10,35,35,15,0.001366
145,2,4,A*,False,0,0,0,5000,0.461007
145,2,4,Greedy,True,12,41,43,16,0.001354
